account_id,is_employee,last_modified_date,last_access_date,reputation_change_year,reputation_change_quarter,reputation_change_month,reputation_change_week,reputation_change_day,reputation,creation_date,user_type,user_id,accept_rate,location,website_url,link,profile_image,display_name,badge_counts_bronze,badge_counts_silver,badge_counts_gold,country,insert_date
3465245,False,1654011000.0,1654167608,41170,16768,672,1407,291,729374,1382300846,registered,2901002,97.0,"Bratislava, Slovakia",,https://stackoverflow.com/users/2901002/jezrael,https://i.stack.imgur.com/hMDvl.jpg?s=256&g=1,jezrael,1089,1139,78,Slovakia,2022-05-27
485561,False,1652902201.0,1654168306,10076,3697,61,174,41,201570,1313736279,registered,901925,,"Seattle, WA",,https://stackoverflow.com/users/901925/hpaulj,https://www.gravatar.com/avatar/8bbd70aaeb3a97d0087daf93c2be8804?s=256&d=identicon&r=PG,hpaulj,313,203,13,Unknown,2022-05-27
13113751,False,1654110303.0,1654150036,4288,3161,169,457,10,122997,1520731760,registered,9473764,,"Adelaide SA, Australia",,https://stackoverflow.com/users/9473764/nick,https://i.stack.imgur.com/O15t5.jpg?s=256&g=1,Nick,81,49,20,Australia,2022-05-27
20724483,False,1654096200.0,1654162087,28745,4155,178,463,78,70159,1613706797,registered,15239951,,Unknown,,https://stackoverflow.com/users/15239951/corralien,https://www.gravatar.com/avatar/976f07be84907aad663ce8c1c51cf5c4?s=256&d=identicon&r=PG,Corralien,37,16,7,Unknown,2022-05-27
14938620,False,1654016100.0,1654167892,4479,2106,18,183,8,21609,1544703423,registered,10785975,,"Warszawa, Polska",,https://stackoverflow.com/users/10785975/daweo,https://www.gravatar.com/avatar/c668b4905932bb9e8abe4d881e689a36?s=256&d=identicon&r=PG&f=1,Daweo,19,9,3,Unknown,2022-05-27
13663119,False,1653586501.0,1654110511,5824,3170,10,40,-15,20033,1527495571,registered,9857631,,"New York Metropolitan Area, USA",,https://stackoverflow.com/users/9857631/not-speshal,https://www.gravatar.com/avatar/c0befb2a32e9e8e9593994cfff5dbcfc?s=256&d=identicon&r=PG&f=1,not_speshal,28,13,2,USA,2022-05-27
42079,False,1641296100.0,1653713081,210,90,0,0,0,9639,1244901761,registered,122466,38.0,"Sunnyvale, CA, USA",http://algohub.blogspot.com,https://stackoverflow.com/users/122466/aadith-ramia,https://www.gravatar.com/avatar/ff0cfde5a80abbe8c9206e7ae022d57c?s=256&d=identicon&r=PG&f=1,Aadith Ramia,85,63,19,USA,2022-05-27
15569186,False,1650594000.0,1654152779,195,58,-2,-2,0,7254,1553086345,registered,11232091,,"Bangalore, Karnataka, Indien",,https://stackoverflow.com/users/11232091/moys,https://i.stack.imgur.com/vt9vH.png?s=256&g=1,moys,28,7,2,Unknown,2022-05-27
15001531,False,1653930300.0,1654167928,1309,506,34,86,12,5980,1545653980,registered,10829044,,Unknown,,https://stackoverflow.com/users/10829044/the-great,https://lh3.googleusercontent.com/-XkVFAldxdns/AAAAAAAAAAI/AAAAAAAAAAA/AKxrwcYw7mFQ9BqeKrYJYmarsmObRK9Lsw/mo/photo.jpg?sz=256,The Great,61,18,5,Unknown,2022-05-27
14170934,False,1654131900.0,1654144120,1478,821,61,160,-11,5403,1534481301,registered,10237506,,"Virginia, US",,https://stackoverflow.com/users/10237506/rv-kvetch,https://i.stack.imgur.com/VAFA3.jpg?s=256&g=1,rv.kvetch,28,10,3,Unknown,2022-05-27
